"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C10,C11","4","10uF","","","","Footprints:CAPC1608X90N","~"
"C3,C5,C6","3","0.1uF","","","","Footprints:CAPC1608X90","~"
"C4","1","47uF","","","","Footprints:CAPC2012X145N","~"
"C7,C8,C9,C12,C13,C14,C16,C17,C19,C20,C21,C22","12","1uF","","","","Footprints:CAPC1608X90N","~"
"C15,C18","2","4.7uF","","","","Footprints:CAPC1608X90N","~"
"D1,D2,D3,D4","4","B0530W-7-F","","","","B0530W-7-F:SOD3715X145N",""
"J1","1","FH12-24S-0.5SH55","","","","CF4224FH0R0-05-NH:CONN24X1_FH12-24S-0.5SH55_HIR","FH12-24S-0.5SH55"
"L1","1","2.2uH","","","","Footprints:IND_VLS252012ET-2R2M","~"
"L2","1","47uH","","","","IFSC2020DEER470M01:IND_IFSC-2020DE-01_VIS","https://www.vishay.com/doc?34083"
"Q1","1","S8050","","","","Package_TO_SOT_THT:TO-92_Inline","http://www.unisonic.com.tw/datasheet/S8050.pdf"
"Q2,Q3,Q4,Q6","4","BSS84","","","","Package_TO_SOT_SMD:SOT-23","http://assets.nexperia.com/documents/data-sheet/BSS84.pdf"
"Q5,Q7","2","BSS138","","","","Footprints:SOT95P240X111-3N","https://www.onsemi.com/pub/Collateral/BSS138-D.PDF"
"R1,R2,R3,R4","4","10R","","","","Footprints:RESC2012X60N","~"
"R5,R6","2","1K","","","","Footprints:RESC1607X60N","~"
"R7,R8,R9,R15,R16","5","100k","","","","Footprints:RESC1607X60N","~"
"R10,R11,R12,R13,R14","5","10k","","","","Footprints:RESC1607X60N","~"
"R17","1","1M","","","","Footprints:RESC1607X60N","~"
"R18","1","2.2","","","","Footprints:RESC1607X60N","~"
"RT1","1","10k - NXRT15XH103FA1B040","","","","HomeBrew:2_Wire_Connector",""
"U1","1","POCKETBEAGLE","","","","POCKETBEAGLE (1):POCKETBEAGLE",""
"U2","1","DRV5032FCDBZR","","","","DRV5032FCDBZR:DBZ0003A-IPC_A","https://www.ti.com/lit/gpn/drv5032"
"U3","1","TPS613222ADBVR","","","","TPS613222ADBVR:SOT95P280X145-5N",""
"U4","1","~","","","","HomeBrew:4_Wire_Connector",""
"U5","1","~","","","","FH34SRJ-18S-0.5SH:CONN18x1_FH34SRJ-18S-0.5SH50_HIR",""
"U7","1","PMF250XNEX","","","","PMF250XNEX:PMF250XNEX_NEX","PMF250XNEX"
